Feature ID	Taxon							Confidence
557574	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Oribacterium	 	0.999999432
564914	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	0.999415984
565136	Bacteria	 Actinobacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Scardovia	 	0.999999955
572843	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 	 	 	0.99994049
586458	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	1
851782	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Shuttleworthia	 satelles	0.999999597
904199	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 mucilaginosa	0.982549168
929486	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999997836
930782	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Leptotrichiaceae	 Leptotrichia	 	1
933230	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Corynebacteriaceae	 Corynebacterium	 durum	0.999859027
938948	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999983798
958575	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 mucilaginosa	0.854456475
960338	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.999998584
964866	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 	0.999987374
967275	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 	0.999947765
972266	Bacteria	 Proteobacteria	 Betaproteobacteria	 Neisseriales	 Neisseriaceae	 Neisseria	 	0.995374464
978974	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	 	0.99999408
993127	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Porphyromonas	 	0.999999951
997957	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Haemophilus	 parainfluenzae	0.785358458
