Feature ID	Taxon							Confidence
1015143	Bacteria	 Firmicutes	 Bacilli	 Gemellales	 Gemellaceae	 	 	0.999906757
1052622	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 dentocariosa	0.99784301
1061162	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.999176413
1065569	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Aerococcaceae	 Abiotrophia	 	0.998568978
1087878	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.979024071
1088494	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	0.91334472
1102876	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 	0.999993275
11330	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999994337
284308	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 	0.999977305
336228	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Veillonellaceae	 Dialister	 	0.999999884
359079	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 anginosus	0.999506887
390336	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Staphylococcaceae	 Staphylococcus	 	0.94318144
4317049	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 	0.998664399
4319190	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999993062
4342642	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999998701
4458501	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 [Tissierellaceae]	 Parvimonas	 	0.999999874
4468180	Bacteria	 Proteobacteria	 Epsilonproteobacteria	 Campylobacterales	 Campylobacteraceae	 Campylobacter	 	0.994524803
514642	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Atopobium	 	0.963600882
524725	Bacteria	 Actinobacteria	 Coriobacteriia	 Coriobacteriales	 Coriobacteriaceae	 Atopobium	 rimae	0.983240539
527485	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 Peptostreptococcus	 	0.975865375
533765	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	0.969355731
553352	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 	0.99996388
564914	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	0.999155684
565136	Bacteria	 Actinobacteria	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Scardovia	 	0.999997886
572843	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 	 	 	0.999882444
586458	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	 	1
851734	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Oribacterium	 	0.999999628
904199	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 mucilaginosa	0.982549168
929486	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999997836
938948	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 	0.999983798
958575	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 mucilaginosa	0.854456475
964866	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 	0.999987374
967275	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Stenotrophomonas	 	0.999947765
972266	Bacteria	 Proteobacteria	 Betaproteobacteria	 Neisseriales	 Neisseriaceae	 Neisseria	 	0.995374464
993127	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Porphyromonas	 	0.999999848
997957	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae	 Haemophilus	 parainfluenzae	0.785358458
